date,category,title,amount
2021-08-09,supermercado,Sonda Itaim Paulista,9.23
2021-08-09,casa,Pag*Alexribeirosantos,250
2021-08-09,supermercado,Sonda Itaim Paulista,10.97
2021-08-09,,Saldo em atraso,411.91
2021-08-09,,Crédito de atraso,-311.91
2021-08-09,eletrônicos,Pag*Ricardomoraisda,9.5
2021-08-11,eletrônicos,Pag*Ricardomoraisda,5
2021-08-13,,Multa de atraso,8.26
2021-08-13,,Juros de atraso,7.7
2021-08-13,,IOF de atraso,3.29
2021-08-13,,Pagamento recebido,-311.91
2021-08-16,restaurante,Padaria Junior,10
2021-08-16,transporte,Centro Automotivo Marq,50
2021-08-16,saúde,Farma e Cia,44.46
2021-08-16,eletrônicos,Pag*Ricardomoraisda,5
2021-08-20,supermercado,Sonda Itaim Paulista,33
2021-08-20,supermercado,Sonda Itaim Paulista,5.4
2021-08-23,supermercado,Oggi Sorvetes,25.5
2021-08-23,casa,Roldao - M. Tito,9.39
2021-08-23,eletrônicos,Pag*Ricardomoraisda,5
2021-08-23,restaurante,Sol das Oliveiras Paes,50
2021-08-26,eletrônicos,Pag*Ricardomoraisda,5
2021-08-30,outros,Mp *Fernandoguijo,40
